Matched phv,TOPMed Study,TOPMed Harmonized Variable,dbGap Variable Description,dbGap Variable Name,TOPMed Component ID,dbGap phs,dbGap phv,dbGap pht,dbGap pht Name,dbGap Study Name
phv00193505,WHI,pad_incident_1,Days enrollment to end of followup,ENDFOLLOWDY,phs000200.v11.pht003407.v3.phv00193505.v3,phs000200.v12.p3,phv00193505.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00036469,FHS,angina_incident_1,Event Number,EVENT,phs000007.v30.pht000309.v13.phv00036469.v12,phs000007.v33.p14,phv00036469.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00036471,FHS,angina_incident_1,Date of Event,DATE,phs000007.v30.pht000309.v13.phv00036471.v12,phs000007.v33.p14,phv00036471.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00177930,FHS,angina_incident_1,Age at Exam 1,age1,phs000007.v30.pht003099.v5.phv00177930.v5,phs000007.v33.p14,phv00177930.v8.p14,pht003099.v8.p14,vr_dates_2019_a_1175s,Framingham Cohort
phv00190817,FHS,angina_incident_1,Cardiovascular Disease (CVD) status,cvd,phs000007.v30.pht003316.v7.phv00190817.v7,phs000007.v33.p14,phv00190817.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00190823,FHS,angina_incident_1,Date of Cardiovascular Disease (CVD) status,cvddate,phs000007.v30.pht003316.v7.phv00190823.v7,phs000007.v33.p14,phv00190823.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00078436,WHI,angina_incident_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,angina_incident_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00192302,WHI,angina_incident_1,Extension 2 MRC Participant,EXT2MRC,phs000200.v11.pht003395.v3.phv00192302.v3,phs000200.v12.p3,phv00192302.v3.p3,pht003395.v3.p3,ext_rel2,Women's Health Initiative
phv00193145,WHI,angina_incident_1,Angina,ANGINA,phs000200.v11.pht003407.v3.phv00193145.v3,phs000200.v12.p3,phv00193145.v3.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193146,WHI,angina_incident_1,Days enrollment to Angina,ANGINADY,phs000200.v11.pht003407.v3.phv00193146.v3,phs000200.v12.p3,phv00193146.v3.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193504,WHI,angina_incident_1,Days enrollment to end of Ext1 followup,ENDEXT1DY,phs000200.v11.pht003407.v3.phv00193504.v3,phs000200.v12.p3,phv00193504.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193505,WHI,angina_incident_1,Days enrollment to end of followup,ENDFOLLOWDY,phs000200.v11.pht003407.v3.phv00193505.v3,phs000200.v12.p3,phv00193505.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00036469,FHS,mi_incident_1,Event Number,EVENT,phs000007.v30.pht000309.v13.phv00036469.v12,phs000007.v33.p14,phv00036469.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00036471,FHS,mi_incident_1,Date of Event,DATE,phs000007.v30.pht000309.v13.phv00036471.v12,phs000007.v33.p14,phv00036471.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00177930,FHS,mi_incident_1,Age at Exam 1,age1,phs000007.v30.pht003099.v5.phv00177930.v5,phs000007.v33.p14,phv00177930.v8.p14,pht003099.v8.p14,vr_dates_2019_a_1175s,Framingham Cohort
phv00190817,FHS,mi_incident_1,Cardiovascular Disease (CVD) status,cvd,phs000007.v30.pht003316.v7.phv00190817.v7,phs000007.v33.p14,phv00190817.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00190823,FHS,mi_incident_1,Date of Cardiovascular Disease (CVD) status,cvddate,phs000007.v30.pht003316.v7.phv00190823.v7,phs000007.v33.p14,phv00190823.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00078436,WHI,mi_incident_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,mi_incident_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00192302,WHI,mi_incident_1,Extension 2 MRC Participant,EXT2MRC,phs000200.v11.pht003395.v3.phv00192302.v3,phs000200.v12.p3,phv00192302.v3.p3,pht003395.v3.p3,ext_rel2,Women's Health Initiative
phv00193169,WHI,mi_incident_1,Clinical MI,MI,phs000200.v11.pht003407.v3.phv00193169.v3,phs000200.v12.p3,phv00193169.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193170,WHI,mi_incident_1,Days enrollment to Clinical MI,MIDY,phs000200.v11.pht003407.v3.phv00193170.v3,phs000200.v12.p3,phv00193170.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193504,WHI,mi_incident_1,Days enrollment to end of Ext1 followup,ENDEXT1DY,phs000200.v11.pht003407.v3.phv00193504.v3,phs000200.v12.p3,phv00193504.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193505,WHI,mi_incident_1,Days enrollment to end of followup,ENDFOLLOWDY,phs000200.v11.pht003407.v3.phv00193505.v3,phs000200.v12.p3,phv00193505.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00054697,FHS,cabg_incident_1,Date of cardiovascular procedure,procdate,phs000007.v30.pht000389.v10.phv00054697.v8,phs000007.v33.p14,phv00054697.v11.p14,pht000389.v13.p14,vr_cvdproc_2020_a_1313s,Framingham Cohort
phv00163410,FHS,cabg_incident_1,Coronary Artery Bypass Graft (CABG) - Number of vessels bypassed - PROCNUM = 141,vessel,phs000007.v30.pht000389.v10.phv00163410.v7,phs000007.v33.p14,phv00163410.v10.p14,pht000389.v13.p14,vr_cvdproc_2020_a_1313s,Framingham Cohort
phv00177930,FHS,cabg_incident_1,Age at Exam 1,age1,phs000007.v30.pht003099.v5.phv00177930.v5,phs000007.v33.p14,phv00177930.v8.p14,pht003099.v8.p14,vr_dates_2019_a_1175s,Framingham Cohort
phv00190817,FHS,cabg_incident_1,Cardiovascular Disease (CVD) status,cvd,phs000007.v30.pht003316.v7.phv00190817.v7,phs000007.v33.p14,phv00190817.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00190823,FHS,cabg_incident_1,Date of Cardiovascular Disease (CVD) status,cvddate,phs000007.v30.pht003316.v7.phv00190823.v7,phs000007.v33.p14,phv00190823.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00078436,WHI,cabg_incident_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,cabg_incident_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00192302,WHI,cabg_incident_1,Extension 2 MRC Participant,EXT2MRC,phs000200.v11.pht003395.v3.phv00192302.v3,phs000200.v12.p3,phv00192302.v3.p3,pht003395.v3.p3,ext_rel2,Women's Health Initiative
phv00193157,WHI,cabg_incident_1,CABG,CABG,phs000200.v11.pht003407.v3.phv00193157.v3,phs000200.v12.p3,phv00193157.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193158,WHI,cabg_incident_1,Days enrollment to CABG,CABGDY,phs000200.v11.pht003407.v3.phv00193158.v3,phs000200.v12.p3,phv00193158.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193504,WHI,cabg_incident_1,Days enrollment to end of Ext1 followup,ENDEXT1DY,phs000200.v11.pht003407.v3.phv00193504.v3,phs000200.v12.p3,phv00193504.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193505,WHI,cabg_incident_1,Days enrollment to end of followup,ENDFOLLOWDY,phs000200.v11.pht003407.v3.phv00193505.v3,phs000200.v12.p3,phv00193505.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00036469,FHS,chd_death_probable_1,Event Number,EVENT,phs000007.v30.pht000309.v13.phv00036469.v12,phs000007.v33.p14,phv00036469.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00036471,FHS,chd_death_probable_1,Date of Event,DATE,phs000007.v30.pht000309.v13.phv00036471.v12,phs000007.v33.p14,phv00036471.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00177930,FHS,chd_death_probable_1,Age at Exam 1,age1,phs000007.v30.pht003099.v5.phv00177930.v5,phs000007.v33.p14,phv00177930.v8.p14,pht003099.v8.p14,vr_dates_2019_a_1175s,Framingham Cohort
phv00190817,FHS,chd_death_probable_1,Cardiovascular Disease (CVD) status,cvd,phs000007.v30.pht003316.v7.phv00190817.v7,phs000007.v33.p14,phv00190817.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00190823,FHS,chd_death_probable_1,Date of Cardiovascular Disease (CVD) status,cvddate,phs000007.v30.pht003316.v7.phv00190823.v7,phs000007.v33.p14,phv00190823.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00078436,WHI,chd_death_probable_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,chd_death_probable_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00192302,WHI,chd_death_probable_1,Extension 2 MRC Participant,EXT2MRC,phs000200.v11.pht003395.v3.phv00192302.v3,phs000200.v12.p3,phv00192302.v3.p3,pht003395.v3.p3,ext_rel2,Women's Health Initiative
phv00193498,WHI,chd_death_probable_1,Days enrollment to Death,DEATHDY,phs000200.v11.pht003407.v3.phv00193498.v3,phs000200.v12.p3,phv00193498.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193504,WHI,chd_death_probable_1,Days enrollment to end of Ext1 followup,ENDEXT1DY,phs000200.v11.pht003407.v3.phv00193504.v3,phs000200.v12.p3,phv00193504.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193505,WHI,chd_death_probable_1,Days enrollment to end of followup,ENDFOLLOWDY,phs000200.v11.pht003407.v3.phv00193505.v3,phs000200.v12.p3,phv00193505.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193531,WHI,chd_death_probable_1,Death,DEATH,phs000200.v11.pht003409.v3.phv00193531.v2,phs000200.v12.p3,phv00193531.v3.p3,pht003409.v4.p3,outc_death_rel5,Women's Health Initiative
phv00193532,WHI,chd_death_probable_1,Cause of Death,DEATHCAUSE,phs000200.v11.pht003409.v3.phv00193532.v2,phs000200.v12.p3,phv00193532.v3.p3,pht003409.v4.p3,outc_death_rel5,Women's Health Initiative
phv00036469,FHS,chd_death_definite_1,Event Number,EVENT,phs000007.v30.pht000309.v13.phv00036469.v12,phs000007.v33.p14,phv00036469.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00036471,FHS,chd_death_definite_1,Date of Event,DATE,phs000007.v30.pht000309.v13.phv00036471.v12,phs000007.v33.p14,phv00036471.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00177930,FHS,chd_death_definite_1,Age at Exam 1,age1,phs000007.v30.pht003099.v5.phv00177930.v5,phs000007.v33.p14,phv00177930.v8.p14,pht003099.v8.p14,vr_dates_2019_a_1175s,Framingham Cohort
phv00190817,FHS,chd_death_definite_1,Cardiovascular Disease (CVD) status,cvd,phs000007.v30.pht003316.v7.phv00190817.v7,phs000007.v33.p14,phv00190817.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00190823,FHS,chd_death_definite_1,Date of Cardiovascular Disease (CVD) status,cvddate,phs000007.v30.pht003316.v7.phv00190823.v7,phs000007.v33.p14,phv00190823.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00078436,WHI,chd_death_definite_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,chd_death_definite_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00192302,WHI,chd_death_definite_1,Extension 2 MRC Participant,EXT2MRC,phs000200.v11.pht003395.v3.phv00192302.v3,phs000200.v12.p3,phv00192302.v3.p3,pht003395.v3.p3,ext_rel2,Women's Health Initiative
phv00193498,WHI,chd_death_definite_1,Days enrollment to Death,DEATHDY,phs000200.v11.pht003407.v3.phv00193498.v3,phs000200.v12.p3,phv00193498.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193504,WHI,chd_death_definite_1,Days enrollment to end of Ext1 followup,ENDEXT1DY,phs000200.v11.pht003407.v3.phv00193504.v3,phs000200.v12.p3,phv00193504.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193505,WHI,chd_death_definite_1,Days enrollment to end of followup,ENDFOLLOWDY,phs000200.v11.pht003407.v3.phv00193505.v3,phs000200.v12.p3,phv00193505.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193531,WHI,chd_death_definite_1,Death,DEATH,phs000200.v11.pht003409.v3.phv00193531.v2,phs000200.v12.p3,phv00193531.v3.p3,pht003409.v4.p3,outc_death_rel5,Women's Health Initiative
phv00193532,WHI,chd_death_definite_1,Cause of Death,DEATHCAUSE,phs000200.v11.pht003409.v3.phv00193532.v2,phs000200.v12.p3,phv00193532.v3.p3,pht003409.v4.p3,outc_death_rel5,Women's Health Initiative
phv00177930,FHS,cad_followup_start_age_1,Age at Exam 1,age1,phs000007.v30.pht003099.v5.phv00177930.v5,phs000007.v33.p14,phv00177930.v8.p14,pht003099.v8.p14,vr_dates_2019_a_1175s,Framingham Cohort
phv00078437,WHI,cad_followup_start_age_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078436,WHI,coronary_angioplasty_incident_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,coronary_angioplasty_incident_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00192302,WHI,coronary_angioplasty_incident_1,Extension 2 MRC Participant,EXT2MRC,phs000200.v11.pht003395.v3.phv00192302.v3,phs000200.v12.p3,phv00192302.v3.p3,pht003395.v3.p3,ext_rel2,Women's Health Initiative
phv00193199,WHI,coronary_angioplasty_incident_1,PTCA,PTCA,phs000200.v11.pht003407.v3.phv00193199.v3,phs000200.v12.p3,phv00193199.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193200,WHI,coronary_angioplasty_incident_1,Days enrollment to PTCA,PTCADY,phs000200.v11.pht003407.v3.phv00193200.v3,phs000200.v12.p3,phv00193200.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193504,WHI,coronary_angioplasty_incident_1,Days enrollment to end of Ext1 followup,ENDEXT1DY,phs000200.v11.pht003407.v3.phv00193504.v3,phs000200.v12.p3,phv00193504.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193505,WHI,coronary_angioplasty_incident_1,Days enrollment to end of followup,ENDFOLLOWDY,phs000200.v11.pht003407.v3.phv00193505.v3,phs000200.v12.p3,phv00193505.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00100487,CHS,angina_prior_1,CALCULATED AGE AT BASELINE,AGEBL,phs000287.v6.pht001452.v1.phv00100487.v1,phs000287.v7.p1,phv00100487.v1.p1,pht001452.v1.p1,BASEBOTH,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00100504,CHS,angina_prior_1,ANG MODIFIED BL STAT,ANBLMOD,phs000287.v6.pht001452.v1.phv00100504.v1,phs000287.v7.p1,phv00100504.v1.p1,pht001452.v1.p1,BASEBOTH,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00159608,COPDGene,angina_prior_1,Angina,Angina,phs000179.v5.pht002239.v4.phv00159608.v4,phs000179.v6.p2,phv00159608.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159836,COPDGene,angina_prior_1,Age at enrollment,Age_Enroll,phs000179.v5.pht002239.v4.phv00159836.v4,phs000179.v6.p2,phv00159836.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00036469,FHS,angina_prior_1,Event Number,EVENT,phs000007.v30.pht000309.v13.phv00036469.v12,phs000007.v33.p14,phv00036469.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00036471,FHS,angina_prior_1,Date of Event,DATE,phs000007.v30.pht000309.v13.phv00036471.v12,phs000007.v33.p14,phv00036471.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00177930,FHS,angina_prior_1,Age at Exam 1,age1,phs000007.v30.pht003099.v5.phv00177930.v5,phs000007.v33.p14,phv00177930.v8.p14,pht003099.v8.p14,vr_dates_2019_a_1175s,Framingham Cohort
phv00190817,FHS,angina_prior_1,Cardiovascular Disease (CVD) status,cvd,phs000007.v30.pht003316.v7.phv00190817.v7,phs000007.v33.p14,phv00190817.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00190823,FHS,angina_prior_1,Date of Cardiovascular Disease (CVD) status,cvddate,phs000007.v30.pht003316.v7.phv00190823.v7,phs000007.v33.p14,phv00190823.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00084442,MESA,angina_prior_1,AGE,age1c,phs000209.v13.pht001116.v10.phv00084442.v3,phs000209.v13.p3,phv00084442.v3.p3,pht001116.v10.p3,MESA_Exam1Main,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00078436,WHI,angina_prior_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,angina_prior_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078507,WHI,angina_prior_1,F30 Days since randomization/enrollment,F30DAYS,phs000200.v11.pht000999.v6.phv00078507.v6,phs000200.v12.p3,phv00078507.v6.p3,pht000999.v6.p3,f30_rel2,Women's Health Initiative
phv00078560,WHI,angina_prior_1,Angina ever,ANGINA,phs000200.v11.pht000999.v6.phv00078560.v6,phs000200.v12.p3,phv00078560.v6.p3,pht000999.v6.p3,f30_rel2,Women's Health Initiative
phv00204712,ARIC,coronary_angioplasty_prior_1,Age at visit 1 [Cohort. Visit 1],V1AGE01,phs000280.v5.pht004063.v2.phv00204712.v1,phs000280.v8.p2,phv00204712.v2.p2,pht004063.v3.p2,DERIVE13,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00208845,ARIC,coronary_angioplasty_prior_1,"[Invasive procedures]. Have you ever had surgery on your heart, or on the arteries of your neck or legs, excluding surgery for vericose veins? Q6 [Physical Examination Form. PHEA. Visit 1]",PHEA06,phs000280.v5.pht004143.v2.phv00208845.v1,phs000280.v8.p2,phv00208845.v2.p2,pht004143.v3.p2,PHEA,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00208853,ARIC,coronary_angioplasty_prior_1,[Invasive procedures]. Have you ever had a balloon angioplasty on the arteries of your heart or legs? Q8 [Physical Examination Form. PHEA. Visit 1],PHEA08,phs000280.v5.pht004143.v2.phv00208853.v1,phs000280.v8.p2,phv00208853.v2.p2,pht004143.v3.p2,PHEA,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00208854,ARIC,coronary_angioplasty_prior_1,[Invasive procedures]. [Probe for type of procedure]. Angioplasty of coronary artery(ies)? Q9a [Physical Examination Form. PHEA. Visit 1],PHEA09A,phs000280.v5.pht004143.v2.phv00208854.v1,phs000280.v8.p2,phv00208854.v2.p2,pht004143.v3.p2,PHEA,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00100322,CHS,coronary_angioplasty_prior_1,CORONARY ARTERY ANGIOPLASTY,CORART,phs000287.v6.pht001452.v1.phv00100322.v1,phs000287.v7.p1,phv00100322.v1.p1,pht001452.v1.p1,BASEBOTH,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00100487,CHS,coronary_angioplasty_prior_1,CALCULATED AGE AT BASELINE,AGEBL,phs000287.v6.pht001452.v1.phv00100487.v1,phs000287.v7.p1,phv00100487.v1.p1,pht001452.v1.p1,BASEBOTH,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00159632,COPDGene,coronary_angioplasty_prior_1,Angioplasty or cardiac stents placed,Angioplasty,phs000179.v5.pht002239.v4.phv00159632.v4,phs000179.v6.p2,phv00159632.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159836,COPDGene,coronary_angioplasty_prior_1,Age at enrollment,Age_Enroll,phs000179.v5.pht002239.v4.phv00159836.v4,phs000179.v6.p2,phv00159836.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
