Harmonized Variable,Harmonized Variable Description,SNOMED CT ID,NINDS CDE ID,Studies Mapped,Missing Samples (%)_x,Study Mapped,Variable Field Name,Variable Description,Missing Samples (%)_y,dataset,var,Study,Variable name,Variable description,dbGaP Study Accession,Variable accession,Dataset accession,Dataset name,phv,values,studyId,dtId,varId,is_categorical,is_continuous,columnmeta_is_stigmatized,columnmeta_name,description,columnmeta_min,HPDS_PATH,derived_group_id,columnmeta_hpds_path,columnmeta_var_id,columnmeta_var_group_description,derived_var_description,derived_variable_level_data,data_hierarchy,derived_group_description,columnmeta_max,columnmeta_description,derived_study_id,hashed_var_id,columnmeta_data_type,derived_var_id,columnmeta_study_id,is_stigmatized,derived_var_name,derived_study_abv_name,derived_study_description,columnmeta_var_group_id,derived_group_name,columnmeta_HPDS_PATH,min,max
SODIUM,Sodium intake (mg/day),1148504005,C54943,ARICFraminghamREGARDS,-,ARIC,anut2.sodi,sodium (mg),-,anut2,sodi,Atherosclerosis Risk in Communities (ARIC) Cohort,SODI,Sodium [mg] [Nutrients. Visit 3],phs000280.v8.p2,phv00208588.v2.p2,pht004139.v3.p2,NUTV3,phv00208588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM,Sodium intake (mg/day),1148504005,C54943,ARICFraminghamREGARDS,-,ARIC,anut2.sodi,sodium (mg),-,anut2,sodi,Atherosclerosis Risk in Communities (ARIC) Cohort,SODI,Sodium [mg] [Nutrients. Visit 2],phs000280.v8.p2,phv00208361.v2.p2,pht004137.v3.p2,NUTV2,phv00208361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM,Sodium intake (mg/day),1148504005,C54943,ARICFraminghamREGARDS,-,ARIC,anut2.sodi,sodium (mg),-,anut2,sodi,Atherosclerosis Risk in Communities (ARIC) Cohort,SODI,"Sodium [mg] [Nutrients, ANUT. Visit 1]",phs000280.v8.p2,phv00203258.v2.p2,pht004036.v3.p2,ANUT2,phv00203258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib11.af,Atrial fibrillation,-,atrfib11,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB11. Visit 1],phs000280.v8.p2,phv00203303.v2.p2,pht004037.v4.p2,ATRFIB11,phv00203303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib11.af,Atrial fibrillation,-,atrfib11,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB21. Visit 2],phs000280.v8.p2,phv00203306.v2.p2,pht004038.v4.p2,ATRFIB21,phv00203306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib11.af,Atrial fibrillation,-,atrfib11,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB31. Visit 3],phs000280.v8.p2,phv00203309.v2.p2,pht004039.v4.p2,ATRFIB31,phv00203309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib11.af,Atrial fibrillation,-,atrfib11,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB41. Visit 4],phs000280.v8.p2,phv00203312.v2.p2,pht004040.v4.p2,ATRFIB41,phv00203312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib21.af,Atrial fibrillation,-,atrfib21,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB41. Visit 4],phs000280.v8.p2,phv00203312.v2.p2,pht004040.v4.p2,ATRFIB41,phv00203312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib21.af,Atrial fibrillation,-,atrfib21,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB31. Visit 3],phs000280.v8.p2,phv00203309.v2.p2,pht004039.v4.p2,ATRFIB31,phv00203309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib21.af,Atrial fibrillation,-,atrfib21,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB21. Visit 2],phs000280.v8.p2,phv00203306.v2.p2,pht004038.v4.p2,ATRFIB21,phv00203306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib21.af,Atrial fibrillation,-,atrfib21,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB11. Visit 1],phs000280.v8.p2,phv00203303.v2.p2,pht004037.v4.p2,ATRFIB11,phv00203303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib31.af,Atrial fibrillation,-,atrfib31,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB21. Visit 2],phs000280.v8.p2,phv00203306.v2.p2,pht004038.v4.p2,ATRFIB21,phv00203306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib31.af,Atrial fibrillation,-,atrfib31,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB31. Visit 3],phs000280.v8.p2,phv00203309.v2.p2,pht004039.v4.p2,ATRFIB31,phv00203309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib31.af,Atrial fibrillation,-,atrfib31,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB41. Visit 4],phs000280.v8.p2,phv00203312.v2.p2,pht004040.v4.p2,ATRFIB41,phv00203312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib31.af,Atrial fibrillation,-,atrfib31,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB11. Visit 1],phs000280.v8.p2,phv00203303.v2.p2,pht004037.v4.p2,ATRFIB11,phv00203303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib41.af,Atrial fibrillation,-,atrfib41,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB11. Visit 1],phs000280.v8.p2,phv00203303.v2.p2,pht004037.v4.p2,ATRFIB11,phv00203303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib41.af,Atrial fibrillation,-,atrfib41,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB21. Visit 2],phs000280.v8.p2,phv00203306.v2.p2,pht004038.v4.p2,ATRFIB21,phv00203306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib41.af,Atrial fibrillation,-,atrfib41,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB31. Visit 3],phs000280.v8.p2,phv00203309.v2.p2,pht004039.v4.p2,ATRFIB31,phv00203309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,atrfib41.af,Atrial fibrillation,-,atrfib41,af,Atherosclerosis Risk in Communities (ARIC) Cohort,af,Atrial fibrillation [Atrial Fibrillation. ATRFIB41. Visit 4],phs000280.v8.p2,phv00203312.v2.p2,pht004040.v4.p2,ATRFIB41,phv00203312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,REGARDS,baseline_calculated_variables.AFIB_ECG,-,-,baseline_calculated_variables,AFIB_ECG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,REGARDS,baseline_calculated_variables.AFIB_SR,-,-,baseline_calculated_variables,AFIB_SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Atherosclerosis Risk in Communities (ARIC) Cohort,Age,Age at Contact [Annual Follow-up Questionnaire Form. AFU],phs000280.v8.p2,phv00294816.v5.p2,pht006416.v5.p2,afucomposite30ps1,phv00294816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Atherosclerosis Risk in Communities (ARIC) Cohort,AGE,Age at discharge/death for cohort event use V5 DOB,phs000280.v8.p2,phv00419796.v3.p2,pht009477.v3.p2,HFCOCCPS18,phv00419796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Hispanic Community Health Study /Study of Latinos (HCHS/SOL),AGE,Age,phs000810.v2.p2,phv00226251.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,phv00226251,[],phs000810,pht004715,phv00226251,False,True,True,AGE,Age,18.0,\phs000810\pht004715\phv00226251\AGE\,pht004715.v1,\phs000810\pht004715\phv00226251\AGE\,phv00226251,"Subject ID, age, gender, study ID, year lived in USA, Hispanic/Latino background, education and occupation, household ID, family origin, marital status, height, weight, BMI, blood cell count, blood pressure, apnea/hypopnea, blood oxygen level, waist-to-Hip ration, asthma, diabetes, cancer, teeth, pregnancy, heart disease, chronic kidney disease, ECG, spirometry, physical activity, smoking, and treatment of participants involved in the ""Hispanic Community Health Study /Study of Latinos (HCHS/SOL)"" project.",Age,{},,"Subject ID, age, gender, study ID, year lived in USA, Hispanic/Latino background, education and occupation, household ID, family origin, marital status, height, weight, BMI, blood cell count, blood pressure, apnea/hypopnea, blood oxygen level, waist-to-Hip ration, asthma, diabetes, cancer, teeth, pregnancy, heart disease, chronic kidney disease, ECG, spirometry, physical activity, smoking, and treatment of participants involved in the ""Hispanic Community Health Study /Study of Latinos (HCHS/SOL)"" project.",76.0,Age,phs000810.v1,c6ad0299c6540a5b1bbaa62f2f2af135e0a2e85541e2688810fcfc5256000ad7,continuous,phv00226251.v1,phs000810,True,AGE,HCHSSOL,Hispanic Community Health Study /Study of Latinos (HCHS/SOL),pht004715,HCHS_SOL_Cohort_Subject_Phenotypes,\phs000810\pht004715\phv00226251\AGE\,18.0,76.0
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Framingham Cohort,AGE,Age of participant at the time of the neuropsychological test,phs000007.v33.p14,phv00253991.v5.p14,pht004374.v7.p14,vr_np_2018_a_1185s,phv00253991,[],phs000007,pht004374,phv00253991,False,True,True,AGE,Age of participant at the time of the neuropsychological test,25.0,\phs000007\pht004374\phv00253991\AGE\,pht004374.v5,\phs000007\pht004374\phv00253991\AGE\,phv00253991,"Neuropsychology Test Scores, Original, Offspring, Generation 3, New Offspring Spouse, Omni 1, and Omni 2 (all cohorts), 1999 - 2018. The primary objective of the MRI and Cognitive study was to establish baseline measures of brain morphology and cognitive function in the Original cohort survivors. This dataset contains all NP measures for participants in any of the FHS cohorts. The study comprised of a 50-90 minute neuropsychological test battery that also included some measures of physical functioning. This is NOT an adjudicated diagnosis and should not be used as such in ANY analysis under any circumstance. Please refer to the dementia review dataset for adjudicated dementia diagnosis outcomes.",Age of participant at the time of the neuropsychological test,{},,"Neuropsychology Test Scores, Original, Offspring, Generation 3, New Offspring Spouse, Omni 1, and Omni 2 (all cohorts), 1999 - 2018. The primary objective of the MRI and Cognitive study was to establish baseline measures of brain morphology and cognitive function in the Original cohort survivors. This dataset contains all NP measures for participants in any of the FHS cohorts. The study comprised of a 50-90 minute neuropsychological test battery that also included some measures of physical functioning. This is NOT an adjudicated diagnosis and should not be used as such in ANY analysis under any circumstance. Please refer to the dementia review dataset for adjudicated dementia diagnosis outcomes.",104.0,Age of participant at the time of the neuropsychological test,phs000007.v31,a9cf0b028aa8b15c5253ffdaa5f7d0106574d84959986c33ccd128f217593c2d,continuous,phv00253991.v3,phs000007,True,AGE,FHS,Framingham Cohort,pht004374,vr_np_2018_a_1185s,\phs000007\pht004374\phv00253991\AGE\,25.0,104.0
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Women's Health Initiative,AGE,Age at screening,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,phv00078437,[],phs000200,pht000998,phv00078437,False,True,True,AGE,Age at screening,49.0,\phs000200\pht000998\phv00078437\AGE\,pht000998.v6,\phs000200\pht000998\phv00078437\AGE\,phv00078437,"Form 2 - Eligibility Screen -- name; mailing address; telephone numbers and best times to call; date of birth; residing in area for next three years; current involvement in other research studies; history of cancer (site, diagnosis in past 10 years); ethnicity; recruitment source; hormone use (present, in last three months); osteoporosis-related fracture and hormone use as treatment; hysterectomy history; last menstrual bleeding; number of meals prepared away from home; special diets (type); history of diabetes, deep vein thrombosis, pulmonary embolus, stroke, transient ischemic attack, myocardial infarction; history of sickle cell anemia, heart failure, liver disease, bleeding problem; loss of 15 pounds in last six months; renal failure requiring hemodialysis; other chronic illness; emotional or mental problems; ability to get to clinical center; interest in DM; interest in HRT (willingness to stop current hormone medications).",Age at screening,{},,"Form 2 - Eligibility Screen -- name; mailing address; telephone numbers and best times to call; date of birth; residing in area for next three years; current involvement in other research studies; history of cancer (site, diagnosis in past 10 years); ethnicity; recruitment source; hormone use (present, in last three months); osteoporosis-related fracture and hormone use as treatment; hysterectomy history; last menstrual bleeding; number of meals prepared away from home; special diets (type); history of diabetes, deep vein thrombosis, pulmonary embolus, stroke, transient ischemic attack, myocardial infarction; history of sickle cell anemia, heart failure, liver disease, bleeding problem; loss of 15 pounds in last six months; renal failure requiring hemodialysis; other chronic illness; emotional or mental problems; ability to get to clinical center; interest in DM; interest in HRT (willingness to stop current hormone medications).",81.0,Age at screening,phs000200.v12,68a9f5b827311d33a4499bc3c98d409b40b446bdbdd33a5cdada3f71f4d0925e,continuous,phv00078437.v6,phs000200,True,AGE,WHI,Women's Health Initiative,pht000998,f2_rel1,\phs000200\pht000998\phv00078437\AGE\,49.0,81.0
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort,age,DIETARY AGE CATEGORY EXAM 5,phs000209.v13.p3,phv00218304.v1.p3,pht004317.v1.p3,MESA_exam5dietnutrients,phv00218304,"['50-59', '60-69', '70 or +']",phs000209,pht004317,phv00218304,True,False,False,age,DIETARY AGE CATEGORY EXAM 5,,\phs000209\pht004317\phv00218304\age\,pht004317.v1,\phs000209\pht004317\phv00218304\age\,phv00218304,,DIETARY AGE CATEGORY EXAM 5,{},,,,DIETARY AGE CATEGORY EXAM 5,phs000209.v13,ac944dc504f3357a08d7925266e7b1a78b60b960f79f6cb63c11f1ad37e1c844,categorical,phv00218304.v1,phs000209,False,age,MESA,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort,pht004317,MESA_exam5dietnutrients,\phs000209\pht004317\phv00218304\age\,,
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort,age,AGE,phs000209.v13.p3,phv00175875.v1.p3,pht003087.v1.p3,MESA_AncilMesaCTRead185,phv00175875,[],phs000209,pht003087,phv00175875,False,True,False,age,AGE,45.0,\phs000209\pht003087\phv00175875\age\,pht003087.v1,\phs000209\pht003087\phv00175875\age\,phv00175875,MESA Lung CT Read 185: Lung CT reads for 185 case-control subjects who had A1AT measured from the MESA Lung Cohort.,AGE,{},,MESA Lung CT Read 185: Lung CT reads for 185 case-control subjects who had A1AT measured from the MESA Lung Cohort.,84.0,AGE,phs000209.v13,2b62119652a07dced93c7ca76ba34a67f3956ebd42d1a64bcd2ef6c4f2a0b09c,continuous,phv00175875.v1,phs000209,False,age,MESA,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort,pht003087,MESA_AncilMesaCTRead185,\phs000209\pht003087\phv00175875\age\,45.0,84.0
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Jackson Heart Study (JHS) Cohort,age,Age in Years,phs000286.v7.p2,phv00401379.v2.p2,pht008731.v2.p2,analysis3,phv00401379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Jackson Heart Study (JHS) Cohort,age,Age in Years,phs000286.v7.p2,phv00401282.v2.p2,pht008730.v2.p2,analysis2,phv00401282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE,Age,424144002,C00008,ARICFraminghamMESAREGARDS,1.3,REGARDS,baseline_calculated_variables.AGE,-,-,baseline_calculated_variables,AGE,Jackson Heart Study (JHS) Cohort,age,Age in Years,phs000286.v7.p2,phv00401085.v2.p2,pht008729.v2.p2,analysis1,phv00401085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCOHOL,Alcohol (servings per week),896811007,C56075,ARICFraminghamMESAREGARDS,0.46,REGARDS,baseline_calculated_variables.ALC_DRINKS_WK,-,1.961368983,baseline_calculated_variables,ALC_DRINKS_WK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HXHRTD,History of heart disease,56265001,C21869; C17477; C17479,ARICFraminghamMESAREGARDS,0.43,REGARDS,baseline_calculated_variables.CAD_SR_ECG,-,-,baseline_calculated_variables,CAD_SR_ECG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HXCVD,History of cardiovascular disease,49601007,C21869; C17477; C17479,ARICFraminghamMESAREGARDS,1.12,REGARDS,baseline_calculated_variables.CAD_SR_ECG,-,-,baseline_calculated_variables,CAD_SR_ECG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREAT,Creatinine (mg/dL),15373003,C57972,ARICFraminghamMESAREGARDS,0.95,REGARDS,baseline_calculated_variables.CREATININE_SERUM,-,4.323625882,baseline_calculated_variables,CREATININE_SERUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABP,-,271650006,C01507,ARICMESAREGARDS,1.25,REGARDS,baseline_calculated_variables.DBP,-,0.288241726,baseline_calculated_variables,DBP,Jackson Heart Study (JHS) Cohort,dbp,Diastolic Blood Pressure (mmHg),phs000286.v7.p2,phv00401410.v1.p2,pht008731.v2.p2,analysis3,phv00401410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABP,-,271650006,C01507,ARICMESAREGARDS,1.25,REGARDS,baseline_calculated_variables.DBP,-,0.288241726,baseline_calculated_variables,DBP,Jackson Heart Study (JHS) Cohort,dbp,Diastolic Blood Pressure (mmHg),phs000286.v7.p2,phv00401309.v1.p2,pht008730.v2.p2,analysis2,phv00401309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABP,-,271650006,C01507,ARICMESAREGARDS,1.25,REGARDS,baseline_calculated_variables.DBP,-,0.288241726,baseline_calculated_variables,DBP,Framingham Cohort,DBP,Brachial diastolic pressure,phs000007.v33.p14,phv00476659.v2.p14,pht010745.v2.p14,t_tonla_ex08_1b_1232s,phv00476659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABP,-,271650006,C01507,ARICMESAREGARDS,1.25,REGARDS,baseline_calculated_variables.DBP,-,0.288241726,baseline_calculated_variables,DBP,Framingham Cohort,DBP,Brachial diastolic pressure - mmHg,phs000007.v33.p14,phv00476781.v2.p14,pht010746.v2.p14,t_tonla_ex09_1b_1233s,phv00476781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABP,-,271650006,C01507,ARICMESAREGARDS,1.25,REGARDS,baseline_calculated_variables.DBP,-,0.288241726,baseline_calculated_variables,DBP,Framingham Cohort,DBP,Brachial diastolic pressure,phs000007.v33.p14,phv00476584.v1.p14,pht010744.v1.p14,t_tonla_ex02_3b_1235s,phv00476584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABP,-,271650006,C01507,ARICMESAREGARDS,1.25,REGARDS,baseline_calculated_variables.DBP,-,0.288241726,baseline_calculated_variables,DBP,Framingham Cohort,dbp,Diastolic blood pressure entered by technician,phs000007.v33.p14,phv00072660.v7.p14,pht000748.v8.p14,t_pat_ex08_1b_0230s,phv00072660,[],phs000007,pht000748,phv00072660,False,True,False,dbp,Diastolic blood pressure entered by technician,41.0,\phs000007\pht000748\phv00072660\dbp\,pht000748.v6,\phs000007\pht000748\phv00072660\dbp\,phv00072660,"Peripheral Arterial Tone, Original Cohort Exam 28, Offspring Cohort Exam 8",Diastolic blood pressure entered by technician,{},,"Peripheral Arterial Tone, Original Cohort Exam 28, Offspring Cohort Exam 8",112.0,Diastolic blood pressure entered by technician,phs000007.v31,650de5aaaea24927c97c390be9faef6f5028bd4530ca99855f005e7fff6e4f65,continuous,phv00072660.v5,phs000007,False,dbp,FHS,Framingham Cohort,pht000748,pat1_8s,\phs000007\pht000748\phv00072660\dbp\,41.0,112.0
