Harmonized Variable,Study Mapped,Variable Field Name,Variable Description,Missing Samples (%)
ASPIRIN,MESA,mesae2dres06222012.asa2c,Aspirin from 280804 (anti-inflam agents),12.35691224
ASPIRIN,MESA,mesae3dres06222012.asa3c,Aspirin from 280804 (anti-inflam agents),14.22072204
ASPIRIN,MESA,mesae4dres06222012.asa4c,Aspirin from 280804 (anti-inflam agents),17.36131494
ASPIRIN,MESA,mesae5_drepos_20220820.asa5c,ASPIRIN FROM 280804 (ANTI-INFLAM AGENTS),0.169635284
ASPIRIN,REGARDS,baseline_calculated_variables.REG_ASA,-,-
BASE_CVD,ARIC,derive13.prvchd05,PREVALENT CORONARY HEART DISEASE,2.19941349
BASE_CVD,ARIC,derive13.symchd03,SYMPTOMATIC CORONARY HEART DISEASE,1.073047187
BASE_CVD,ARIC,derive13.roseic03,"ROSE INTERMITTENT CLAUDICATION, DEF. 3",0.299920021
BASE_CVD,ARIC,derive13.prevhf01,Prevalent HF at Visit 1,1.832844575
BASE_CVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
BASE_CVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
BASE_CVD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
BASE_STROKE,ARIC,stroke01.stroke01,Stroke,-
BASE_STROKE,ARIC,stroke01.tia01,TIA,-
BASE_STROKE,Framingham,vr_svstk_2019_a_1335d.stroke,Stroke status,-
BASE_STROKE,Framingham,vr_svstk_2019_a_1335d.strokedate,Date of stroke,-
BASE_STROKE,Framingham,vr_svstktia_2019_a_1336d.stroke_tia,Stroke/TIA status,-
BASE_STROKE,Framingham,vr_svstktia_2019_a_1336d.stroketiadate,Date of stroke/TIA,-
BASE_STROKE,REGARDS,baseline_calculated_variables.STROKE_SR,-,-
BG,Framingham,vr_wkthru_ex09_1_1001d.bg1,"Blood glucose (mg/dL) (includes fasting and non-fasting), Exam 1",4.250200481
BG,Framingham,vr_wkthru_ex09_1_1001d.bg2,"Blood glucose (mg/dL) (includes fasting and non-fasting), Exam 2",27.7265437
BG,Framingham,vr_wkthru_ex09_1_1001d.bg3,"Blood glucose (mg/dL) (includes fasting and non-fasting), Exam 3",27.12510024
BG,Framingham,vr_wkthru_ex09_1_1001d.bg4,"Blood glucose (mg/dL) (includes fasting and non-fasting), Exam 4",23.61668003
BG,Framingham,vr_wkthru_ex09_1_1001d.bg5,"Blood glucose (mg/dL) (includes fasting and non-fasting), Exam 5",26.66399358
BG,Framingham,vr_wkthru_ex09_1_1001d.bg6,"Blood glucose (mg/dL) (includes fasting and non-fasting), Exam 6",32.55813953
BG,Framingham,vr_wkthru_ex09_1_1001d.bg7,"Blood glucose (mg/dL) (includes fasting and non-fasting), Exam 7",34.38251804
BG,Framingham,vr_wkthru_ex09_1_1001d.bg8,"Blood glucose (mg/dL) (includes fasting and non-fasting), Exam 8",42.54210104
BG,Framingham,vr_wkthru_ex09_1_1001d.bg9,"Blood glucose (mg/dL) (includes fasting and non-fasting), Exam 9",54.87169206
BMI,ARIC,derive13.bmi01,BODY MASS INDEX IN KG/(M*M),0.159957345
BMI,ARIC,derive2_10.bmi21,V2 body mass index in kg/m2,0.205806689
BMI,ARIC,derive37.bmi32,Body Mass Index in kg/m**2,0.147710487
BMI,ARIC,derive47.bmi41,Description not found,0.318616295
BMI,ARIC,derive51.bm!51,-,-
BMI,Framingham,vr_wkthru_ex09_1_1001d.bmi1,"Body mass index (kg/m²), Exam 1",0.080192462
BMI,Framingham,vr_wkthru_ex09_1_1001d.bmi2,"Body mass index (kg/m²), Exam 2",24.83961508
BMI,Framingham,vr_wkthru_ex09_1_1001d.bmi3,"Body mass index (kg/m²), Exam 3",25.56134723
BMI,Framingham,vr_wkthru_ex09_1_1001d.bmi4,"Body mass index (kg/m²), Exam 4",22.19326383
BMI,Framingham,vr_wkthru_ex09_1_1001d.bmi5,"Body mass index (kg/m²), Exam 5",26.62389735
BMI,Framingham,vr_wkthru_ex09_1_1001d.bmi6,"Body mass index (kg/m²), Exam 6",32.55813953
BMI,Framingham,vr_wkthru_ex09_1_1001d.bmi7,"Body mass index (kg/m²), Exam 7",34.30232558
BMI,Framingham,vr_wkthru_ex09_1_1001d.bmi8,"Body mass index (kg/m²), Exam 8",42.38171612
BMI,Framingham,vr_wkthru_ex09_1_1001d.bmi9,"Body mass index (kg/m²), Exam 9",54.69125902
BMI,MESA,mesae1dres20220813.bmi1c,BODY MASS INDEX (kg)/(m^2),-
BMI,MESA,mesae2dres06222012.bmi2c,BODY MASS INDEX (kg)/(m^2),8.555914294
BMI,MESA,mesae3dres06222012.bmi3c,BODY MASS INDEX (kg)/(m^2),12.84120928
BMI,MESA,mesae4dres06222012.bmi4c,BODY MASS INDEX (kg)/(m^2),16.31934253
BMI,MESA,mesae5_drepos_20220820.bmi5c,BODY MASS INDEX (kg/m^2),1.569126378
BMI,REGARDS,baseline_calculated_variables.BMI,-,0.722260875
CARSTEN,ARIC,phea.phea10,CAROTID BRUITS? Q10,-
CARSTEN,ARIC,derive47.plaque42,Alt. Plaque in any site,40.6008193
CARSTEN,Framingham,ex1_3d_v1.c361,CDI: LEFT CAROTID BRUIT,0.079744817
CARSTEN,Framingham,ex1_3d_v1.c362,CDI: RIGHT CAROTID BRUIT,0.079744817
CARSTEN,Framingham,ex1_6d_v1.f564,CAROTID BRUIT-LEFT,1.231310466
CARSTEN,Framingham,ex1_6d_v1.f565,CAROTID BRUIT-RIGHT,1.260627382
CARSTEN,Framingham,e_exam_ex08_1_0005d.h298,CAROTID BRUIT - LEFT,3.718592965
CARSTEN,Framingham,e_exam_ex08_1_0005d.h299,CAROTID BRUIT - RIGHT,3.718592965
CARSTEN,MESA,mesae1dres20220813.maxstn1c,"MAXIMUM CAROTID STENOSIS, GRADED",1.438215439
CENSDAY,ARIC,incps18.fudth18,Follow Up Days to Death by 2018,-
CENSDAY,Framingham,vr_survdth_2019_a_1337d.datedth,Date of death,57.63052209
CENSDAY,Framingham,vr_survdth_2019_a_1337d.lastcon,Date of last contact,42.36947791
CENSDAY,MESA,mesaevthr2015_drepos_20200330.fuptt,Time until most recent follow-up (days),0.073378339
CREAT,ARIC,chma.chma09,CREATININE (MG-DL) Q9,-
CREAT,ARIC,chmb.chmb08,CREATININE (mg per dL) DEC PT REQ Q8,-
CREAT,ARIC,chm.chm21,"Creatinine, Serum (mg/dL)",0.609652837
CREAT,Framingham,vr_wkthru_ex09_1_1001d.creat2,"Creatinine (mg/dL), Exam 2",27.7265437
CREAT,Framingham,vr_wkthru_ex09_1_1001d.creat5,"Creatinine (mg/dL), Exam 5",38.09141941
CREAT,Framingham,vr_wkthru_ex09_1_1001d.creat6,"Creatinine (mg/dL), Exam 6",33.05934242
CREAT,Framingham,vr_wkthru_ex09_1_1001d.creat7,"Creatinine (mg/dL), Exam 7",34.60304731
CREAT,Framingham,vr_wkthru_ex09_1_1001d.creat8,"Creatinine (mg/dL), Exam 8",42.78267843
CREAT,Framingham,vr_wkthru_ex09_1_1001d.creat9,"Creatinine (mg/dL), Exam 9",55.13231756
CREAT,MESA,mesae1dres20220813.creatin1,CREATININE (mg/dl),0.366891694
CREAT,MESA,mesae3dres06222012.creatin3,CREATININE (mg/dl),13.604344
CREAT,MESA,mesae4dres06222012.creatin4,Creatinine (mg/dl),17.31728794
CREAT,MESA,mesae5_drepos_20220820.creatnn5,CREATININE,95.41984733
CREAT,REGARDS,baseline_calculated_variables.CREATININE_SERUM,-,4.323625882
CURRSMK,ARIC,derive13.cursmk01,CURRENT CIGARETTE SMOKER,0.09997334
CURRSMK,ARIC,derive2_10.cursmk21,Current Smoker Flag,0.242557883
CURRSMK,ARIC,derive37.cursmk31,Current Smoker,0.303627113
CURRSMK,ARIC,derive47.cursmk41,Current Cigarette Smoker,0.937642239
CURRSMK,ARIC,derive51.cursmk52,V5 Current Cigarette Smoker,6.29005059
CURRSMK,Framingham,vr_wkthru_ex09_1_1001d.currsmk1,"Current smoking status, Exam 1",0.320769848
CURRSMK,Framingham,vr_wkthru_ex09_1_1001d.currsmk2,"Current smoking status, Exam 2",24.81956696
CURRSMK,Framingham,vr_wkthru_ex09_1_1001d.currsmk3,"Current smoking status, Exam 3",24.61908581
CURRSMK,Framingham,vr_wkthru_ex09_1_1001d.currsmk4,"Current smoking status, Exam 4",21.8925421
CURRSMK,Framingham,vr_wkthru_ex09_1_1001d.currsmk5,"Current smoking status, Exam 5",26.12269447
CURRSMK,Framingham,vr_wkthru_ex09_1_1001d.currsmk6,"Current smoking status, Exam 6",31.61587811
CURRSMK,Framingham,vr_wkthru_ex09_1_1001d.currsmk7,"Current smoking status, Exam 7",30.35284683
CURRSMK,Framingham,vr_wkthru_ex09_1_1001d.currsmk8,"Current smoking status, Exam 8",40.23656776
CURRSMK,Framingham,vr_wkthru_ex09_1_1001d.currsmk9,"Current smoking status, Exam 9",52.04490778
CURRSMK,MESA,mesae1dres20220813.cig1c,CIGARETTE SMOKING STATUS,0.32286469
CURRSMK,MESA,mesae2dres06222012.cig2c,"Cigarrette Smoking Status, Exam 2",9.172292339
CURRSMK,MESA,mesae3dres06222012.cig3c,"Cigarrette Smoking Status, Exam 3",13.34018198
CURRSMK,MESA,mesae4dres06222012.cig4c,"Cigarette Smoking Status, Exam 4",15.58555914
CURRSMK,MESA,mesae5_drepos_20220820.cig5c,"CIGARETTE SMOKING STATUS, EXAM 5",1.378286684
CURRSMK,REGARDS,baseline_calculated_variables.SMOKE,-,-
DAYS_SINCE_EXAM1,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
DAYS_SINCE_EXAM1,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
DAYS_SINCE_EXAM1,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
DAYS_SINCE_EXAM1,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
DAYS_SINCE_EXAM1,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
DEATH_IND,ARIC,incps18.dead18,Dead by 2018 from DTH/NDI/AFU,-
DEATH_IND,Framingham,vr_survdth_2019_a_1337d.datedth,Date of death,57.63052209
DEATH_IND,MESA,mesaevthr2015_drepos_20200330.dth,Death,0.308189023
DEATH_IND_T2,MESA,mesaevthr2015_drepos_20200330.dthtt,Time to All-Cause Death or End of Year 2015 (days),0.308189023
DIAB,ARIC,derive37.diabts34,Diabetes Using Lower Cutpoint 126 mg/dL,0.623666503
DIAB,ARIC,derive47.diabts42,Diabetes Using Lower Cutpoint 126 mg/dL,1.201638598
DIAB,ARIC,derive51.diabts54,V5 Diabetes - Lower Cutpoint 126 mg/dL,3.591905565
DIAB,Framingham,vr_diab_ex09_1_1002d.curr_diab1,"Diabetes Mellitus Status, Exam 1",4.731355253
DIAB,Framingham,vr_diab_ex09_1_1002d.curr_diab2,"Diabetes Mellitus Status, Exam 2",27.96712109
DIAB,Framingham,vr_diab_ex09_1_1002d.curr_diab3,"Diabetes Mellitus Status, Exam 3",27.12510024
DIAB,Framingham,vr_diab_ex09_1_1002d.curr_diab4,"Diabetes Mellitus Status, Exam 4",23.65677626
DIAB,Framingham,vr_diab_ex09_1_1002d.curr_diab5,"Diabetes Mellitus Status, Exam 5",26.64394547
DIAB,Framingham,vr_diab_ex09_1_1002d.curr_diab6,"Diabetes Mellitus Status, Exam 6",32.47794707
DIAB,Framingham,vr_diab_ex09_1_1002d.curr_diab7,"Diabetes Mellitus Status, Exam 7",33.9414595
DIAB,Framingham,vr_diab_ex09_1_1002d.curr_diab8,"Diabetes Mellitus Status, Exam 8",42.26142743
DIAB,Framingham,vr_diab_ex09_1_1002d.curr_diab9,"Diabetes Mellitus Status, Exam 9",54.83159583
DIAB,MESA,mesae1dres20220813.dm031c,Exam 1 Diabetes mellitus by 2003 ADA fasting criteria algorithm,0.352216026
DIAB,MESA,mesae2dres06222012.dm032c,Exam 2 Diabetes mellitus by 2003 ADA fasting criteria algorithm,9.186968007
DIAB,MESA,mesae3dres06222012.dm033c,Exam 3 Diabetes mellitus by 2003 ADA fasting criteria algorithm,13.47226299
DIAB,MESA,mesae4dres06222012.dm034c,Exam 4 Diabetes mellitus by 2003 ADA fasting criteria algorithm,16.90636924
DIAB,MESA,mesae5_drepos_20220820.dm035c,DIABETES 2003 ADA FASTING CRITERIA,2.565733673
DIAB,REGARDS,baseline_calculated_variables.DIABETES_SR,-,-
DIAB,REGARDS,baseline_calculated_variables.DIAB_SRMED_GLU,-,-
DIABP,ARIC,sbpa02.sbpa22,2ND AND 3RD DIASTOLIC BP AVERAGE Q22,0.079984003
DIABP,ARIC,sbpb02.sbpb22,2ND AND 3RD DIASTOLIC BP AVERAGE Q22,0.029400956
DIABP,ARIC,sbpc04_02.sbpc23,2ND AND 3RD DIASTOLIC BP AVERAGE Q23,0.024624477
DIABP,ARIC,sbpd04_02.sbpd20,1ST AND 2ND DIASTOLIC BP AVERAGE Q20,0.109239873
DIABP,ARIC,sbp.sbp15,AVG: Diastolic (mmHg),0.690817186
DIABP,MESA,mesae1dres20220813.dbp1c,SEATED DIASTOLIC BLOOD PRESSURE (mmHg),0.044027003
DIABP,MESA,mesae2dres06222012.dbp2c,Seated Diastolic Blood Pressure (mmHg),8.570589962
DIABP,MESA,mesae3dres06222012.dbp3c,SEATED DIASTOLIC BLOOD PRESSURE (mmHg),12.88523628
DIABP,MESA,mesae4dres06222012.dbp4c,Seated diastolic blood pressure (mmhg),16.3780452
DIABP,MESA,mesae5_drepos_20220820.dbp5c,SEATED DIASTOLIC BLOOD PRESSURE (mmHg),1.335877863
DIABP,REGARDS,baseline_calculated_variables.DBP,-,0.288241726
DIABP1,Framingham,ex1_1d_v3.a56,"PHYSICIAN DIASTOLIC BLOOD PRESSURE, 1ST",0.180433039
DIABP1,Framingham,ex1_2d_v3.b25,D201-050-DIAS-PHYS-FIRST,0.053304904
DIABP1,Framingham,ex1_3d_v1.c185,FIRST DIASTOLIC BLOOD PRESSURE,0.079744817
DIABP1,Framingham,ex1_4d_v1.d193,DIASTOLIC BP -PHYSICIAN - 1ST READING,0.051255766
DIABP1,Framingham,ex1_5d_v1.e486,DIASTOLIC PRESSURE - 1ST MD READING,0.054229935
DIABP1,Framingham,ex1_6d_v1.f477,PHYSICIAN BP-DIASTOLIC-1ST READING,0.087950748
DIABP1,Framingham,ex1_7d_v2.g272,PHYSICIAN BP DIASTOLIC - 1ST READING,0.230149597
DIABP1,Framingham,e_exam_ex08_1_0005d.h112,PHYSICIAN DIASTOLIC BP - 1ST READING,0.234505863
DIABP1,Framingham,e_exam_ex09_1b_0844d.j118,"MDBP1 - DIASTOLIC 1, MMHG",0.111648679
DIABP2,Framingham,ex1_1d_v3.a58,"PHYSICIAN DIASTOLIC BLOOD PRESSURE, 2ND",82.23736969
DIABP2,Framingham,ex1_2d_v3.b27,D201-056-DIAS-PHYS-SECOND,0.13326226
DIABP2,Framingham,ex1_3d_v1.c287,SECOND DIASTOLIC BLOOD PRESSURE,0.345560872
DIABP2,Framingham,ex1_4d_v1.d289,DIASTOLIC BP -PHYSICIAN - 2ND READING,0.333162481
DIABP2,Framingham,ex1_5d_v1.e582,DIASTOLIC PRESSURE - 2ND MD READING,0.10845987
DIABP2,Framingham,ex1_6d_v1.f577,PHYSICIAN BP-2ND READING-DIASTOLIC,0.175901495
DIABP2,Framingham,ex1_7d_v2.g355,PHYSICIAN BP DIASTOLIC - 2ND READING,0.201380898
DIABP2,Framingham,e_exam_ex08_1_0005d.h234,PHYSICIAN DIASTOLIC BP - 2ND READING,0.234505863
DIABP2,Framingham,e_exam_ex09_1b_0844d.j257,"MDBP2 - DIAST, MMHG",0.29772981
EDUCLEV,ARIC,hom.hom54,HIGHEST EDUCATION COMPLETED Q54,0.14665689
